song_name;artist(s)_name;streams;released_year;contract
Coco Chanel;Bad Bunny, Eladio Carrion;250305248;2023;Unknown
Donï¿½ï¿½ï¿½t Bl;Taylor Swift;685032533;2017;Universal Music Group
Still With You;Jung Kook;38411956;2020;Unknown
All My Life (feat. J. Cole);J. Cole, Lil Durk;144565150;2023;Unknown
Say Yes To Heaven;Lana Del Rey;127567540;2023;Unknown
Snooze;SZA;399686758;2022;Top Dawg Entertainment
Summertime Sadness;Lana Del Rey;983637508;2011;Unknown
Take Two;BTS;118482347;2023;Unknown
Lover;Taylor Swift;882831184;2012;Universal Music Group
Too Many Nights (feat. Don Toliver & with Future);Future, Metro Boomin, Don Toliver;286400165;2022;Unknown
Chemical;Post Malone;172825906;2023;Republic Records
Mockingbird;Eminem;1241559043;2004;Unknown
New Jeans;NewJeans;29562220;2023;Unknown
Primera Cita;Carin Leon;77309611;2022;Unknown
Cold Heart - PNAU Remix;Dua Lipa, Elton John, Pnau;1605224506;2017;Unknown
Dandelions;Ruth B.;1116995633;2017;Unknown
Bones;Imagine Dragons;838079900;2021;Interscope Records
Set Fire to the Rain;Adele;1163620694;2011;Unknown
Money Trees;Kendrick Lamar, Jay Rock;1093605526;2012;Unknown
Tak Segampang Itu;Anggi Marito;179659294;2022;Unknown
LAGUNAS;Jasiel Nuï¿½ï¿½ez, Peso P;39058561;2023;Unknown
Mine (Taylor's Version);Taylor Swift;36912123;2023;Universal Music Group
Everybody Wants To Rule The World;Tears For Fears;1205951614;1985;Unknown
No Role Modelz;J. Cole;1791000570;2014;Unknown
Tattoo;Loreen;201660859;2023;Unknown
Rara Vez;Taiu, Milo j;248088961;2023;Unknown
VAGABUNDO;Sebastian Yatra, Manuel Turizo, Beï¿½ï;90839753;2023;Unknown
august;Taylor Swift;607123776;2020;Universal Music Group
LUNA;Junior H, Peso Pluma;55842345;2023;Unknown
Miracle (with Ellie Goulding);Calvin Harris, Ellie Goulding;211050784;2023;Unknown
