song_name;artist(s)_name;streams;released_year;contract
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack];BTS, Jung Kook, FIFA Sound;323358833;2022;Unknown
Te Felicito;Shakira, Rauw Alejandro;606361689;2022;Unknown
Muï¿½ï¿½;Steve Aoki, Tini, La Joaqui;120972253;2023;Unknown
TV;Billie Eilish;338564981;2022;Interscope Records
I'm Not The Only One;Sam Smith;1606986953;2014;Unknown
Heather;Conan Gray;1301799902;2020;Unknown
"Besharam Rang (From ""Pathaan"")";Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani;140187018;2022;Unknown
One Kiss (with Dua Lipa);Calvin Harris, Dua Lipa;1897517891;2017;Unknown
Sugar Rush Ride;TOMORROW X TOGETHER;107642809;2023;Unknown
Pink Venom;BLACKPINK;551305895;2022;Unknown
WAIT FOR U (feat. Drake & Tems);Drake, Future, Tems;556585270;2022;Unknown
Don't Start Now;Dua Lipa;2303033973;2019;Warner Records
After Dark;Mr.Kitty;646886885;2014;Unknown
Eu Gosto Assim - Ao Vivo;Gustavo Mioto, Mari Fernandez;222612678;2022;Unknown
INDUSTRY BABY (feat. Jack Harlow);Jack Harlow, Lil Nas X;1814349763;2021;Unknown
MIDDLE OF THE NIGHT;Elley Duhï¿;872137015;2020;Unknown
Atlantis;Seafret;571386359;2015;Unknown
PUNTO 40;Baby Rasta, Rauw Alejandro;304079786;2022;Unknown
Evoque Prata;DJ Escobar, MC MENOR SG, MC MENOR HR;174006928;2022;Unknown
How Do I Say Goodbye;Dean Lewis;284785823;2022;Unknown
Blind;SZA;163284000;2022;Top Dawg Entertainment
Die For You;Joji;246390068;2022;Unknown
Doja;Central Cee;482257456;2022;Unknown
Gatita;Bellakath;168684524;2022;Unknown
Rumble;Skrillex, Flowdan, Fred again..;78489819;2022;Unknown
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];Travis Scott, 21 Savage, Metro Boomin;195516622;2022;Unknown
Yonaguni;Bad Bunny;1260594497;2021;Rimas Entertainment
Super Freaky Girl;Nicki Minaj;428685680;2022;Unknown
Running Up That Hill (A Deal With God);Kate Bush;1024858327;1985;Unknown
Dream On;Aerosmith;838586769;1973;Unknown
Limbo;Freddie Dredd;199386237;2022;Unknown
Where Are You Now;Lost Frequencies, Calum Scott;972509632;2021;Unknown
WORTH NOTHING;Twisted, Oliver Tree;213438580;2022;Unknown
Bad Habits;Ed Sheeran;1555511105;2020;Atlantic Records
KICK BACK;Kenshi Yonezu;210038833;2022;Unknown
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A;Omar Apollo;227918678;2022;Unknown
Good Days;SZA;826623384;2020;Top Dawg Entertainment
Levitating (feat. DaBaby);Dua Lipa, DaBaby;1802514301;2020;Unknown
Woman;Doja Cat;1329090101;2021;Unknown
Shut up My Moms Calling - (Sped Up);Hotel Ugly;181831132;2022;Unknown
Ferrari;James Hype, Miggy Dela Rosa;462791599;2022;Unknown
You're On Your Own, Kid;Taylor Swift;348647203;2022;Universal Music Group
"Kesariya (From ""Brahmastra"")";Pritam, Arijit Singh, Amitabh Bhattacharya;366599607;2022;Unknown
Agudo Mï¿½ï¿½gi;Styrx, utku INC, Thezth;90598517;1930;Unknown
Payphone;Maroon 5, Wiz Khalifa;1479264469;2012;Unknown
All I Want for Christmas Is You;Mariah Carey;1449779435;1994;Unknown
Last Christmas;Wham!;1159176109;1984;Unknown
Rockin' Around The Christmas Tree;Brenda Lee;769213520;1958;Unknown
Jingle Bell Rock;Bobby Helms;741301563;1957;Unknown
It's Beginning To Look A Lot Like Christmas;Michael Bublï¿;807561936;2011;Unknown
Santa Tell Me;Ariana Grande;834129063;2013;Unknown
It's the Most Wonderful Time of the Year;Andy Williams;663832097;1963;Unknown
Let It Snow! Let It Snow! Let It Snow!;Dean Martin;446390129;1959;Unknown
Snowman;Sia;690104769;2017;Unknown
Underneath the Tree;Kelly Clarkson;485285717;2013;Unknown
Feliz Navidad;Josï¿½ï¿½ Felic;520034544;1970;Unknown
Holly Jolly Christmas;Michael Bublï¿;476244795;2011;Unknown
Mistletoe;Justin Bieber;629173063;2011;Def Jam Recordings
Sleigh Ride;The Ronettes;404664135;1963;Unknown
Seek & Destroy;SZA;98709329;2022;Top Dawg Entertainment
Love Language;SZA;110849052;2022;Top Dawg Entertainment
Happy Xmas (War Is Over);John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono;460492795;1971;Unknown
Used (feat. Don Toliver);SZA, Don Toliver;94005786;2022;Unknown
A Holly Jolly Christmas - Single Version;Burl Ives;395591396;1952;Unknown
The Christmas Song (Merry Christmas To You) - Remastered 1999;Nat King Cole;389771964;1946;Unknown
Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;403939487;1979;Unknown
Do They Know It's Christmas? - 1984 Version;Band Aid;481697415;1984;Unknown
Ghost in the Machine (feat. Phoebe Bridgers);SZA, Phoebe Bridgers;110073250;2022;Unknown
Special;SZA;88092256;2022;Top Dawg Entertainment
Merry Christmas Everyone;Shakin' Stevens;351636786;1984;Unknown
Let It Snow! Let It Snow! Let It Snow!;Frank Sinatra, B. Swanson Quartet;473248298;1950;Unknown
SOS;SZA;73981293;2022;Top Dawg Entertainment
Open Arms (feat. Travis Scott);SZA, Travis Scott;155653938;2022;Unknown
White Christmas;Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers;395591396;1942;Unknown
Driving Home for Christmas - 2019 Remaster;Chris Rea;429504768;1986;Unknown
Christmas (Baby Please Come Home);Darlene Love;242767149;1963;Unknown
Gone Girl;SZA;65362788;2022;Top Dawg Entertainment
F2F;SZA;67540165;2022;Top Dawg Entertainment
Notice Me;SZA;62019074;2022;Top Dawg Entertainment
Merry Christmas;Ed Sheeran, Elton John;135723538;2017;Unknown
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra;295998468;1958;Unknown
My Only Wish (This Year);Britney Spears;261116938;2000;Unknown
Antidepresan;Mabel Matiz, Mert Demir;136689549;2022;Unknown
Wild Flower (with youjeen);RM;135611421;2022;Unknown
I Hate U;SZA;356709897;2021;Top Dawg Entertainment
Raindrops (Insane) [with Travis Scott];Travis Scott, Metro Boomin;110649992;2022;Unknown
SPIT IN MY FACE!;ThxSoMch;301869854;2022;Unknown
Deck The Hall - Remastered 1999;Nat King Cole;127027715;1959;Unknown
Smoking on my Ex Pack;SZA;57144458;2022;Top Dawg Entertainment
Conceited;SZA;56870689;2022;Top Dawg Entertainment
Snow On The Beach (feat. Lana Del Rey);Taylor Swift, Lana Del Rey;323437194;2022;Unknown
Maroon;Taylor Swift;317726339;2022;Universal Music Group
Tubarï¿½ï¿½o Te;Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M;116144341;2022;Unknown
Bejeweled;Taylor Swift;328207708;2022;Universal Music Group
Tarot;Bad Bunny, Jhay Cortez;608228647;2022;Unknown
You Make It Feel Like Christmas (feat. Blake Shelton);Gwen Stefani, Blake Shelton;180577478;2005;Unknown
Desesperados;Chencho Corleone, Rauw Alejandro;809306935;2021;Unknown
Too Late;SZA;49262961;2022;Top Dawg Entertainment
Party;Bad Bunny, Rauw Alejandro;614555082;2022;Unknown
Run Rudolph Run - Single Version;Chuck Berry;245350949;1958;Unknown
Jingle Bells - Remastered 1999;Frank Sinatra;178660459;1957;Unknown
Far;SZA;51641685;2022;Top Dawg Entertainment
On Time (with John Legend);John Legend, Metro Boomin;78139948;2022;Unknown
GATï¿½ï¿½;Maldy, Karol G;322336177;2022;Unknown
ýýýabcdefu;Gayle;1007612429;2021;Unknown
Sacrifice;The Weeknd;326792833;2022;Republic Records
Is There Someone Else?;The Weeknd;391251368;2022;Republic Records
Fingers Crossed;Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith;349585590;2022;Unknown
Out of Time;The Weeknd;339659802;2022;Republic Records
Do It To It;Cherish, ACRAZE;674772936;2021;Unknown
We Don't Talk About Bruno;Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan;432719968;2021;Unknown
Pepas;Farruko;1309887447;2021;Unknown
How Do I Make You Love Me?;The Weeknd;119238316;2022;Republic Records
Gasoline;The Weeknd;116903579;2022;Republic Records
Infinity;Jaymes Young;888046992;2017;Unknown
Less Than Zero;The Weeknd;200660871;2022;Republic Records
Take My Breath;The Weeknd;130655803;2021;Republic Records
good 4 u;Olivia Rodrigo;1887039593;2021;Geffen Records
Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr;The Weeknd, Tyler, The Creator;88103848;2022;Unknown
Best Friends;The Weeknd;101114984;2022;Republic Records
Kiss Me More (feat. SZA);SZA, Doja Cat;1575467011;2021;Unknown
I Heard You're Married (feat. Lil Wayne);The Weeknd, Lil Wayne;91656026;2022;Unknown
Need To Know;Doja Cat;1042568408;2021;Unknown
MONTERO (Call Me By Your Name);Lil Nas X;1735441776;2020;Unknown
love nwantiti (ah ah ah);Ckay;726837877;2019;Unknown
Dawn FM;The Weeknd;53933526;2022;Republic Records
Surface Pressure;Jessica Darrow;267758538;2021;Unknown
Starry Eyes;The Weeknd;74601456;2022;Republic Records
THATS WHAT I WANT;Lil Nas X;920797189;2021;Unknown
One Right Now (with The Weeknd);The Weeknd, Post Malone;539595276;2021;Unknown
Beggin;Mï¿½ï¿½ne;1367810478;2017;Unknown
Mon Amour - Remix;Aitana, zzoilo;578207856;2020;Unknown
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Julieta Venegas, Bad Bunny, Tainy;775542072;2021;Unknown
MONEY;Lisa;863625566;2021;Unknown
The Motto;Tiï¿½ï¿½sto, Ava;656013912;2021;Unknown
Happier Than Ever;Billie Eilish;1056760045;2021;Interscope Records
Moth To A Flame (with The Weeknd);The Weeknd, Swedish House Mafia;611994237;2021;Unknown
traitor;Juan Cruz Toledo, Huilen Toledo;1230855859;2021;Unknown
Toxic;BoyWithUke;582981380;2021;Unknown
drivers license;Olivia Rodrigo;1858144199;2021;Geffen Records
Malvadï¿½ï¿;Xamï¿½ï¿½, Gustah, Neo B;240684449;2021;Unknown
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Taylor Swift;583687007;2021;Universal Music Group
Donï¿½ï¿½ï¿½t Break My;The Weeknd;63803529;2022;Republic Records
Oh My God;Adele;466214729;2021;Unknown
Entre Nosotros (Remix) [con Nicki Nicole];Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE;236940480;2022;Unknown
A Tale By Quincy;The Weeknd;41924466;2022;Republic Records
I AM WOMAN;Emmy Meli;225259194;2021;Unknown
Medallo;Justin Quiles, Lenny Tavï¿½ï¿½rez, BL;393230256;2021;Unknown
It'll Be Okay;Shawn Mendes;287201015;2021;Unknown
Softcore;The Neighbourhood;599770206;2018;Columbia Records
Super Gremlin;Kodak Black;342779426;2021;Unknown
Volvï¿;Aventura, Bad Bunny;673801126;2021;Unknown
Todo De Ti;Rauw Alejandro;1168642797;2020;Unknown
Love Nwantiti - Remix;Ckay, AX'EL, Dj Yo!;540539717;2019;Unknown
Smokin Out The Window;Bruno Mars, Anderson .Paak, Silk Sonic;383550148;2021;Unknown
Meet Me At Our Spot;THE ANXIETY, Willow, Tyler Cole;530511203;2020;Unknown
Every Angel is Terrifying;The Weeknd;37307967;2022;Republic Records
Tacones Rojos;Sebastian Yatra;510876816;2021;Unknown
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber, Daniel Caesar, Giveon;1445941661;2021;Unknown
Dakiti;Bad Bunny, Jhay Cortez;1763363713;2020;Unknown
Tiago PZK: Bzrp Music Sessions, Vol. 48;Bizarrap, Tiago pzk;374191487;2021;Unknown
Lï¿½ï¿½ï¿;Stromae;108809090;2022;Unknown
Nostï¿½ï¿½l;Chris Brown, Rvssian, Rauw Alejandro;436695353;2021;Unknown
Better Days (NEIKED x Mae Muller x Polo G);NEIKED, Mae Muller, Polo G;421040617;2021;Unknown
Life Goes On;Oliver Tree;501541661;2020;Unknown
Sad Girlz Luv Money Remix (feat. Kali Uchis);Kali Uchis, Amaarae, Moliy;354065229;2021;Unknown
Butter;BTS;1143647827;2021;Unknown
pushin P (feat. Young Thug);Young Thug, Future, Gunna;311395144;2022;Unknown
You Right;Doja Cat, The Weeknd;672656250;2021;Unknown
deja vu;Olivia Rodrigo;1256880657;2021;Geffen Records
Dynamite;BTS;1692897992;2020;Unknown
TO THE MOON;Jnr Choi;245095641;2021;Unknown
Lost in the Fire;The Weeknd, Gesaffelstein;686734357;2019;Unknown
Salimo de Noche;Trueno, Tiago pzk;261414174;2021;Unknown
Volando - Remix;Sech, Bad Bunny, Mora;610045621;2021;Unknown
Leave The Door Open;Bruno Mars, Anderson .Paak, Silk Sonic;1115880852;2021;Unknown
Knife Talk (with 21 Savage ft. Project Pat);Drake, Project Pat, 21 Savage;594482982;2021;Unknown
Don't Be Shy;Tiï¿½ï¿½sto, Kar;566954746;2021;Unknown
LA FAMA (with The Weeknd);The Weeknd, ROSALï¿½;374706940;2021;Unknown
The Family Madrigal;Olga Merediz, Stephanie Beatriz, Encanto - Cast;184937148;2021;Unknown
Phantom Regret by Jim;The Weeknd;31959571;2022;Republic Records
Dos Oruguitas;Sebastian Yatra;167076418;2021;Unknown
Freaks;Surf Curse;824420218;2015;Unknown
Acapulco;Jason Derulo;363467642;2021;Unknown
Daddy Issues;The Neighbourhood;1127468248;2015;Columbia Records
thought i was playing;21 Savage, Gunna;60680939;2022;Unknown
ELEVEN;IVE;247737946;2021;Unknown
Mood (feat. Iann Dior);24kgoldn, Iann Dior;1699402402;2020;Unknown
What Else Can I Do?;Stephanie Beatriz, Diane Guerrero;154797871;2021;Unknown
DANCE CRIP;Trueno;198883004;2021;Unknown
Miserable Man;David Kushner;124407432;2022;Unknown
happier;Olivia Rodrigo;850608354;2021;Geffen Records
Praise God;Kanye West;376333030;2021;Unknown
Get Into It (Yuh);Doja Cat;516784627;2021;Unknown
Before You Go;Lewis Capaldi;1608045237;2019;Vertigo Berlin
Sky;Playboi Carti;506778838;2020;Unknown
Rolling in the Deep;Adele;1472799873;2010;Unknown
Sobrio;Maluma;513643924;2021;Unknown
Peru;Ed Sheeran, Fireboy DML;261286503;2021;Unknown
favorite crime;Olivia Rodrigo;783706581;2021;Geffen Records
Thunder;Prezioso, Gabry Ponte, LUM!X;422691058;2021;Unknown
The Business;Tiï¿½ï¿;1062345656;2020;Unknown
positions;Ariana Grande;1252563873;2020;Unknown
I WANNA BE YOUR SLAVE;Mï¿½ï¿½ne;851070493;2021;Unknown
Vai Lï¿½ï¿½ Em Casa;Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &;263894529;2021;Unknown
The Feels;TWICE;345903614;2021;Unknown
HEARTBREAK ANNIVERSARY;Giveon;951637566;2020;Unknown
No Lie;Sean Paul, Dua Lipa;956865266;2016;Unknown
OUT OUT (feat. Charli XCX & Saweetie);Charli XCX, Jax Jones, Joel Corry, Saweetie;427486004;2021;Unknown
Pope Is a Rockstar;SALES;156658366;2016;Unknown
2055;Sleepy hallow;624515457;2021;Unknown
Bored;Billie Eilish;777765388;2017;Interscope Records
Happier Than Ever - Edit;Billie Eilish;412795151;2021;Interscope Records
Astronaut In The Ocean;Masked Wolf;1138474110;2019;Unknown
Ley Seca;Anuel Aa, Jhay Cortez;355219175;2021;Unknown
Every Summertime;NIKI;290228626;2021;Unknown
Talking To The Moon;Bruno Mars;1062956628;2010;Unknown
you broke me first;Tate McRae;1180094974;2020;Unknown
The Nights;Avicii;1456081449;2014;Unknown
Take My Breath;The Weeknd;432702334;2021;Republic Records
Way 2 Sexy (with Future & Young Thug);Drake, Future, Young Thug;489945871;2021;Unknown
Cï¿½ï¿½;Rauw Alejandro;465959382;2021;Unknown
Enemy - from the series Arcane League of Legends;Imagine Dragons, League of Legends, Arcane;1223481149;2021;Unknown
Dance Monkey;Tones and I;2864791672;2019;Bad Batch Records
Lucid Dreams;Juice WRLD;2288695111;2017;Interscope Records
Quï¿½ï¿½ Mï¿½ï¿;J Balvin, Maria Becerra;720825549;2021;Unknown
All of Me;John Legend;2086124197;2013;Unknown
Smells Like Teen Spirit - Remastered 2021;Nirvana;1690192927;1991;Unknown
Arcade;Duncan Laurence;991336132;2019;Unknown
Fair Trade (with Travis Scott);Drake, Travis Scott;593917618;2021;Unknown
Bar;Tini, L-Gante;200972675;2021;Unknown
The Rumbling (TV Size);SiM;71014967;2022;Unknown
family ties (with Kendrick Lamar);Kendrick Lamar, Baby Keem;560222750;2021;Unknown
Mr. Brightside;The Killers;1806617704;2003;Unknown
Blessed-Cursed;ENHYPEN;77337771;2022;Unknown
AM Remix;J Balvin, Nio Garcia, Bad Bunny;528544703;2021;Unknown
Streets;Doja Cat;865640097;2019;Unknown
Shallow;Lady Gaga, Bradley Cooper;2159346687;2018;Unknown
Polaroid Love;ENHYPEN;211372494;2022;Unknown
Leave Before You Love Me (with Jonas Brothers);Marshmello, Jonas Brothers;651732901;2021;Unknown
Permission to Dance;BTS;608334048;2021;Unknown
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine;863756573;2021;Unknown
RAPSTAR;Polo G;797402345;2021;Unknown
'Till I Collapse;Eminem, Nate Dogg;1695712020;2002;Unknown
Memories;Maroon 5;1759567999;2019;Unknown
Se Le Ve;Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music;223319934;2021;Unknown
25k jacket (feat. Lil Baby);Gunna, Lil Baby;54937991;2022;Unknown
When Iï¿½ï¿½ï¿½m Gone (with Katy;Katy Perry, Alesso;226897599;2021;Unknown
Esqueï¿½ï¿½a-Me Se For C;Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &;258316038;2021;Unknown
Miï¿½ï¿½n;Tini, Maria Becerra;596152090;2021;Unknown
Sï¿½ï¿½;Anuel Aa, Myke Towers, Jhay Cortez;177129919;2021;Unknown
MAMIII;Karol G, Becky G;716591492;2022;Unknown
Still D.R.E.;Dr. Dre, Snoop Dogg;1210599487;1999;Unknown
Stay Alive (Prod. SUGA of BTS);Jung Kook;246376690;2022;Unknown
Boyfriend;Dove Cameron;496311364;2022;Unknown
The Joker And The Queen (feat. Taylor Swift);Ed Sheeran, Taylor Swift;146789379;2022;Unknown
The Next Episode;Dr. Dre, Snoop Dogg;843309044;1999;Unknown
Light Switch;Charlie Puth;500340342;2022;Unknown
City of Gods;Kanye West, Alicia Keys, Fivio Foreign;107255472;2022;Unknown
Brividi;Mahmood, Blanco;135079152;2022;Unknown
Lost;Frank Ocean;822239726;2012;Unknown
In Da Club;50 Cent;1202722675;2002;Unknown
she's all i wanna be;Tate McRae;343197054;2022;Unknown
Ginseng Strip 2002;Yung Lean;240769997;2013;Unknown
All For Us - from the HBO Original Series Euphoria;Labrinth, Zendaya;426204830;2019;Unknown
Notion;The Rare Occasions;421135627;2016;Unknown
Formula;Labrinth;554875730;2019;Unknown
Mount Everest;Labrinth;467727006;2019;Unknown
Excuses;Intense, AP Dhillon, Gurinder Gill;327498031;2020;Unknown
Cigarettes;Juice WRLD;185408548;2021;Interscope Records
Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA);Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi;245400167;2022;Unknown
California Love - Original Version (Explicit);Dr. Dre, 2Pac, Roger;579395142;1995;Unknown
Forgot About Dre;Eminem, Dr. Dre;675039469;1999;Unknown
Down Under (feat. Colin Hay);Luude, Colin Hay;252871192;2021;Unknown
Mujeriego;Ryan Castro;231996128;2021;Unknown
HUMBLE.;Kendrick Lamar;1929770265;2017;Unknown
Stan;Eminem, Dido;918915401;1999;Unknown
Contection;GODZZ__-, Zakaria;1180896317;2020;Unknown
Swim;Chase Atlantic;498960285;2017;Unknown
A Tu Merced;Bad Bunny;685071800;2020;Rimas Entertainment
Numb Little Bug;Em Beihold;258714692;2022;Unknown
212;Mainstreet, Chefin;143139338;2022;Unknown
Problemï¿½;Alvaro Diaz, Rauw Alejandro;209768491;2021;Unknown
Bussin;Nicki Minaj, Lil Baby;64714573;2022;Unknown
Worst Day;Future;50746620;2022;Unknown
Malvada;Zï¿½ï¿½ Fe;154119539;2022;Unknown
Hrs and Hrs;Muni Long;181328253;2021;Unknown
Alien Blues;Vundabar;370068639;2015;Unknown
Thinking Out Loud;Ed Sheeran;2280566092;2014;Atlantic Records
Still Don't Know My Name;Labrinth;563902868;2019;Unknown
Christmas Tree;V;317622165;2021;Unknown
Mal Feito - Ao Vivo;Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G;291709698;2022;Unknown
When I R.I.P.;Labrinth;203680270;2019;Unknown
Do We Have A Problem?;Nicki Minaj, Lil Baby;81350745;2022;Unknown
Forever;Labrinth;282883169;2019;Unknown
Gospel (with Eminem);Eminem, Dr. Dre;64787943;2022;Unknown
Seï¿½ï¿½o;Shawn Mendes, Camila Cabello;2484812918;2019;Werner Records
NEW MAGIC WAND;Tyler, The Creator;461437791;2019;Unknown
Adore You;Harry Styles;1439191367;2019;Columbia Records
La Santa;Daddy Yankee, Bad Bunny;759208783;2020;Unknown
Something In The Way - Remastered 2021;Nirvana;368646862;1991;Unknown
Sweetest Pie;Dua Lipa, Megan Thee Stallion;299634472;2022;Unknown
Bam Bam (feat. Ed Sheeran);Camila Cabello, Ed Sheeran;756907987;2022;Unknown
Una Noche en Medellï¿½;Cris Mj;682475162;2022;Unknown
Envolver;Anitta;546191065;2021;Unknown
Starlight;Dave;229473310;2022;Unknown
Hati-Hati di Jalan;Tulus;202677468;2022;Unknown
"I'm Tired - From ""Euphoria"" An Original HBO Series";Labrinth;121913181;2022;Unknown
DANï¿½ï¿½A;Mc Pedrinho, Pedro Sampaio;208166039;2022;Unknown
Yo Voy (feat. Daddy Yankee);Zion & Lennox;527033089;2004;Unknown
Residente: Bzrp Music Sessions, Vol. 49;Residente, Bizarrap;94616487;2022;Unknown
Jordan;Ryan Castro;394030335;2021;Unknown
Nail Tech;Jack Harlow;193443895;2022;Unknown
Chale;Eden Muï¿½ï;299648208;2022;Unknown
DARARI;Treasure;182978249;2022;Unknown
Ya No Somos Ni Seremos;Christian Nodal;319757142;2022;Unknown
Thinking with My Dick;Kevin Gates, Juicy J;109091573;2013;Unknown
Freaky Deaky;Tyga, Doja Cat;153240879;2022;Unknown
this is what falling in love feels like;JVKE;346127840;2021;Unknown
La Zona;Bad Bunny;312622938;2020;Rimas Entertainment
Bohemian Rhapsody - Remastered 2011;Queen;2197010679;1975;Unknown
Hope;XXXTENTACION;1200808494;2018;Unknown
Levitating;Dua Lipa;797196073;2020;Warner Records
Wake Me Up - Radio Edit;Avicii;1970673297;2013;Unknown
jealousy, jealousy;Olivia Rodrigo;665765558;2021;Geffen Records
Monï¿½ï¿½y so;YEAT;263779030;2021;Unknown
Demasiadas Mujeres;C. Tangana;339473453;2020;Unknown
Something Just Like This;The Chainsmokers, Coldplay;2204080728;2017;Unknown
Closer;The Chainsmokers, Halsey;2591224264;2016;Disruptor Records
O.O;NMIXX;135444283;2022;Unknown
Somebody That I Used To Know;Gotye, Kimbra;1457139296;2011;Unknown
Tom's Diner;AnnenMayKantereit, Giant Rooks;236872197;2019;Unknown
First Class;Jack Harlow;694525298;2022;Unknown
Plan A;Paulo Londra;240661097;2022;Unknown
Fuera del mercado;Danny Ocean;421365166;2022;Unknown
X ï¿½ï¿½LTIMA;Daddy Yankee, Bad Bunny;349746291;2022;Unknown
When You're Gone;Shawn Mendes;255120451;2022;Unknown
In My Head;Lil Tjay;190981339;2022;Unknown
Wait a Minute!;Willow;924193303;2015;Unknown
LOVE DIVE;IVE;305771063;2022;Unknown
Pantysito;Feid, Alejo, Robi;273005485;2022;Unknown
Chance;Paulo Londra;89566512;2022;Unknown
Cool for the Summer;Demi Lovato;677389855;2015;Unknown
psychofreak (feat. WILLOW);Camila Cabello, Willow;75476209;2022;Unknown
Angel Baby;Troye Sivan;408843328;2021;Unknown
Vampiro;Matuï¿½ï¿½, Wiu, ;187772591;2022;Unknown
Si Quieren Frontear;De La Ghetto, Duki, Quevedo;178512385;2022;Unknown
Right On;Lil Baby;101780047;2022;Unknown
Me Arrepentï¿;Ak4:20, Cris Mj, Pailita;118381354;2022;Unknown
That's Hilarious;Charlie Puth;146363130;2022;Unknown
Soy El Unico;Yahritza Y Su Esencia;126443991;2022;Unknown
RUMBATï¿½;Daddy Yankee;157990698;2022;Unknown
sentaDONA (Remix) s2;Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K;176290831;2022;Unknown
Falling;Harry Styles;1023187129;2019;Columbia Records
Sigue;Ed Sheeran, J Balvin;106933107;1996;Unknown
Fim de Semana no Rio;teto;139193812;2022;Unknown
MANIAC;Stray Kids;212234990;2022;Unknown
There's Nothing Holdin' Me Back;Shawn Mendes;1714490998;2016;Unknown
IDGAF (with blackbear);Blackbear, BoyWithUke;197643795;2022;Unknown
Golden;Harry Styles;807015863;2019;Columbia Records
Get Lucky - Radio Edit;Pharrell Williams, Nile Rodgers, Daft Punk;933815613;2013;Unknown
Ain't Shit;Doja Cat;499710590;2021;Unknown
"Nobody Like U - From ""Turning Red""";Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill;120847157;2022;Unknown
Still Life;BIGBANG;53909146;2022;Unknown
Photograph;Ed Sheeran;2236667932;2014;Atlantic Records
Love Yourself;Justin Bieber;2123309722;2015;Def Jam Recordings
N95;Kendrick Lamar;301242089;2022;Unknown
About Damn Time;Lizzo;723894473;2022;Unknown
Die Hard;Kendrick Lamar, Blxst, Amanda Reifer;237351106;2022;Unknown
Despuï¿½ï¿½s de la P;Bad Bunny;461558540;2022;Rimas Entertainment
Un Ratito;Bad Bunny;417230415;2022;Rimas Entertainment
United In Grief;Kendrick Lamar;156898322;2022;Unknown
Father Time (feat. Sampha);Kendrick Lamar, Sampha;127309180;2022;Unknown
Yo No Soy Celoso;Bad Bunny;313113297;2022;Rimas Entertainment
Rich Spirit;Kendrick Lamar;173702135;2022;Unknown
Cooped Up (with Roddy Ricch);Post Malone, Roddy Ricch;271666301;2022;Unknown
Me Fui de Vacaciones;Bad Bunny;305650299;2022;Rimas Entertainment
Silent Hill;Kendrick Lamar, Kodak Black;123216717;2022;Unknown
La Corriente;Tony Dize, Bad Bunny;479655659;2022;Unknown
Count Me Out;Kendrick Lamar;126191104;2022;Unknown
Andrea;Buscabulla, Bad Bunny;344055883;2022;Unknown
Dos Mil 16;Bad Bunny;338422004;2022;Rimas Entertainment
We Cry Together;Kendrick Lamar, Taylour Paige;68895644;2022;Unknown
Savior;Kendrick Lamar, Sam Dew, Baby Keem;86176890;2022;Unknown
Un Coco;Bad Bunny;403231558;2022;Rimas Entertainment
Otro Atardecer;Bad Bunny, The Marï¿½ï;319546754;2022;Unknown
Worldwide Steppers;Kendrick Lamar;61739839;2022;Unknown
Aguacero;Bad Bunny;283359161;2022;Rimas Entertainment
Purple Hearts;Kendrick Lamar, Ghostface Killah, Summer Walker;76831876;2022;Unknown
Un Verano Sin Ti;Bad Bunny;283332261;2022;Rimas Entertainment
ULTRA SOLO;Polima WestCoast, Pailita;307752576;2022;Unknown
Ensï¿½ï¿½ï¿½ï¿½ame;Bad Bunny;279737940;2022;Rimas Entertainment
El Apagï¿½;Bad Bunny;212351890;2022;Rimas Entertainment
